id,name,city_name,country_id,cancelled,year,month,day,end_year,end_month,end_day
U24OpenOctober2022,U24 Open October 2022,Kyiv,Ukraine,0,2022,10,23,2022,10,23
U24OpenSeptember2022,U24 Open September 2022,Kyiv,Ukraine,0,2022,9,18,2022,9,18
U24PyramaniaOpen2023,U24 Pyramania Open 2023,Kyiv,Ukraine,0,2023,8,26,2023,8,26
U24TetianaDay2023,U24 Tetiana Day 2023,Kyiv,Ukraine,0,2023,1,29,2023,1,29
U24TetianaDay2024,U24 Tetiana Day 2024,Kyiv,Ukraine,0,2024,1,27,2024,1,28
U24TetianaDayKyiv2025,U24 Tetiana Day Kyiv 2025,Kyiv,Ukraine,0,2025,1,25,2025,1,26
U24TetianaDayKyiv2026,U24 Tetiana Day Kyiv 2026,Kyiv,Ukraine,0,2026,1,24,2026,1,25
UABOpenChallenge2016,UAB Open Challenge 2016,Cochabamba,Bolivia,0,2016,3,16,2016,3,17
UAMOpen2013,UAM Open 2013,Madrid,Spain,0,2013,2,22,2013,2,23
UAOpen2018,UA Open 2018,Santiago,Chile,0,2018,11,24,2018,11,24
UBCBigBlind2023,UBC Big & Blind 2023,"Vancouver, British Columbia",Canada,0,2023,12,2,2023,12,2
UBCOddWeekend2022,UBC Odd Weekend 2022,"Vancouver, British Columbia",Canada,0,2022,11,11,2022,11,13
UBCOpen2019,UBC Open 2019,"Vancouver, British Columbia",Canada,0,2019,1,5,2019,1,5
UBCOpen2020,UBC Open 2020,"Vancouver, British Columbia",Canada,0,2020,1,4,2020,1,5
UBCSideEvents2022,UBC Side Events 2022,"Vancouver, British Columbia",Canada,0,2022,6,11,2022,6,11
UBCSideEvents2023,UBC Side Events 2023,"Vancouver, British Columbia",Canada,0,2023,2,5,2023,2,5
UBCubingChallengeDec2023,Ulaanbaatar Cubing Challenge Dec 2023,Ulaanbaatar,Mongolia,0,2023,12,16,2023,12,16
UBCubingChallengeJan2024,Ulaanbaatar Cubing Challenge Jan 2024,Ulaanbaatar,Mongolia,0,2024,1,20,2024,1,20
Uberlandia2010,Uberlândia Open 2010,"Uberlândia, Minas Gerais",Brazil,0,2010,9,25,2010,9,26
Uberlandia2012,Uberlândia Open 2012,"Uberlândia, Minas Gerais",Brazil,0,2012,6,16,2012,6,17
UberlandiaOpen2011,Uberlandia Open 2011,"Uberlândia, Minas Gerais",Brazil,0,2011,8,27,2011,8,28
UberlandiaOpen2014,Uberlândia Open 2014,"Uberlândia, Minas Gerais",Brazil,0,2014,10,18,2014,10,19
UberlandiaOpen2015,Uberlândia Open 2015,"Uberlândia, Minas Gerais",Brazil,0,2015,10,31,2015,11,1
UberlandiaOpen2017,Uberlândia Open 2017,"Uberlândia, Minas Gerais",Brazil,0,2017,11,4,2017,11,4
UberlandiaOpen2018,Uberlândia Open 2018,"Uberlândia, Minas Gerais",Brazil,0,2018,11,24,2018,11,25
UberlandiaOpen2019,Uberlândia Open 2019,"Uberlândia, Minas Gerais",Brazil,0,2019,7,6,2019,7,7
UberlandiaOpen2025,Uberlândia Open 2025,"Uberlândia, Minas Gerais",Brazil,0,2025,11,29,2025,11,30
UberlandiaSpecials2018,Uberlândia Specials 2018,"Uberlândia, Minas Gerais",Brazil,0,2018,2,24,2018,2,24
UBPuzzleParty2022,UB Puzzle Party 2022,Ulaanbaatar,Mongolia,0,2022,5,29,2022,5,29
UC3MLeganesOpen2025,UC3M Leganés Open 2025,"Leganés, Madrid",Spain,0,2025,6,14,2025,6,14
UCalCuboSantiago2024,UC al Cubo - Santiago 2024,Santiago,Chile,0,2024,10,5,2024,10,5
UCDCubeDays2024,UCD Cube Days 2024,Dublin,Ireland,0,2024,4,13,2024,4,14
UCDCubeDays2025,UCD Cube Days 2025,Dublin,Ireland,0,2025,4,12,2025,4,13
UchiFlorida2015,Uchi Florida 2015,Florida,Uruguay,0,2015,5,23,2015,5,24
UchiMontevideo2016,Uchi Montevideo 2016,Montevideo,Uruguay,0,2016,2,12,2016,2,14
UCLAPBQ2023,UCLA PBQ 2023,"Los Angeles, California",USA,0,2023,12,2,2023,12,2
UCLASpring2025,UCLA Spring 2025,"Los Angeles, California",USA,0,2025,4,20,2025,4,20
UCLASpring2026,UCLA Spring 2026,"Los Angeles, California",USA,0,2026,2,15,2026,2,15
UCLASummer2025,UCLA Summer 2025,"Los Angeles, California",USA,0,2025,7,20,2025,7,20
UCLAWesternsWarmup2025,UCLA Westerns Warmup 2025,"Los Angeles, California",USA,0,2025,8,24,2025,8,24
UCLMCuencaOpen2020,UCLM Cuenca Open 2020,Cuenca,Spain,0,2020,2,22,2020,2,22
UCMOpen2019,UCM Open 2019,Madrid,Spain,0,2019,5,25,2019,5,26
UCOCubingWinter2024,UCO Cubing Winter 2024,"Edmond, Oklahoma",USA,0,2024,1,20,2024,1,20
UCOMParaguay2023,UCOM Paraguay 2023,Asunción,Paraguay,0,2023,4,15,2023,4,16
UCSBCubing2024,UCSB Cubing 2024,"Santa Barbara, California",USA,0,2024,10,19,2024,10,19
UCSBFavorites2025,UCSB Favorites 2025,"Santa Barbara, California",USA,0,2025,11,1,2025,11,1
UCSD2008,UCSD competition 2008,"La Jolla, California",USA,0,2008,1,27,2008,1,27
UCSDBigandBlind2025,UCSD Big and Blind 2025,"San Diego, California",USA,0,2025,1,19,2025,1,19
UCSDBlindandBig2025,UCSD Blind and Big 2025,"San Diego, California",USA,0,2025,5,10,2025,5,10
UCSDExtravaganza2023,UCSD Extravaganza 2023,"San Diego, California",USA,0,2023,10,7,2023,10,7
UCSDExtravaganzaPBQ2023,UCSD Extravaganza PBQ 2023,"San Diego, California",USA,0,2023,10,8,2023,10,8
UCSDFall2024,UCSD Fall 2024,"San Diego, California",USA,0,2024,11,23,2024,11,23
UCSDForHemophilia2023,UCSD For Hemophilia 2023,"San Diego, California",USA,0,2023,6,3,2023,6,3
UCSDMarchA2026,UCSD March A 2026,"San Diego, California",USA,0,2026,3,1,2026,3,1
UCSDMarchB2026,UCSD March B 2026,"San Diego, California",USA,0,2026,3,1,2026,3,1
UCSDMayA2025,UCSD May A 2025,"San Diego, California",USA,0,2025,5,11,2025,5,11
UCSDMaybe2025,UCSD Maybe 2025,"San Diego, California",USA,0,2025,5,11,2025,5,11
UCSDMultiBlindCooldown2025,UCSD Multi-Blind Cooldown 2025,"San Diego, California",USA,0,2025,5,4,2025,5,4
UCSDPleaseBeQualified2024,UCSD Please Be Qualified 2024,"San Diego, California",USA,0,2024,3,17,2024,3,17
UCSDSpring2023,UCSD Spring 2023,"San Diego, California",USA,0,2023,4,2,2023,4,2
UCSDSummer2008,UCSD Summer competition 2008,"La Jolla, California",USA,0,2008,7,12,2008,7,12
UCSDSummer2017,UCSD Summer 2017,"San Diego, California",USA,0,2017,6,11,2017,6,11
UCSDSummer2023,UCSD Summer 2023,"San Diego, California",USA,0,2023,8,5,2023,8,5
UCSDTritoNxN2026,UCSD TritoNxN 2026,"San Diego, California",USA,0,2026,4,4,2026,4,4
UCSDUnofficialEvents2023,UCSD Unofficial Events 2023,"San Diego, California",USA,0,2023,9,30,2023,9,30
UCSDUnofficialEvents2025,UCSD Unofficial Events 2025,"San Diego, California",USA,0,2025,10,25,2025,10,25
